run,corner,time,I,Q7,Q6,Q5,Q4,Q3,Q2,Q1,Q0,Vin,sndr
run_0,tt,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.438, 0.839, 0.339, …]","[0.691, 0.688, 0.686, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.683, …]","[1.225, 1.225, 1.225, …]",2.110
run_1,ss,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.462, 0.859, 0.351, …]","[0.693, 0.690, 0.689, …]","[0.689, 0.687, 0.685, …]","[0.689, 0.687, 0.685, …]","[0.689, 0.687, 0.685, …]","[0.689, 0.687, 0.685, …]","[0.690, 0.687, 0.685, …]","[0.690, 0.687, 0.685, …]","[0.690, 0.687, 0.686, …]","[1.225, 1.225, 1.225, …]",2.179
run_2,ff,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.410, 0.816, 0.325, …]","[0.689, 0.686, 0.685, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.680, …]","[0.685, 0.682, 0.680, …]","[0.685, 0.682, 0.680, …]","[1.225, 1.225, 1.225, …]",2.110
run_3,fs,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.441, 0.845, 0.344, …]","[0.660, 0.657, 0.656, …]","[0.656, 0.653, 0.651, …]","[0.656, 0.653, 0.651, …]","[0.656, 0.653, 0.651, …]","[0.656, 0.653, 0.651, …]","[0.656, 0.653, 0.651, …]","[0.656, 0.653, 0.651, …]","[0.656, 0.653, 0.651, …]","[1.225, 1.225, 1.225, …]",2.110
run_4,sf,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.431, 0.830, 0.331, …]","[0.723, 0.720, 0.719, …]","[0.719, 0.716, 0.715, …]","[0.719, 0.716, 0.715, …]","[0.719, 0.716, 0.715, …]","[0.719, 0.716, 0.715, …]","[0.719, 0.717, 0.715, …]","[0.719, 0.717, 0.715, …]","[0.720, 0.717, 0.716, …]","[1.225, 1.225, 1.225, …]",2.213
