run,VVin,idd,power,avg_power
run_0,0.0,"[7.003e-05, 3.648e-03, 3.964e-03, …]","[1.260e-04, 6.567e-03, 7.135e-03, …]",4.159e-04
run_1,0.1,"[7.003e-05, 3.648e-03, 3.964e-03, …]","[1.261e-04, 6.567e-03, 7.135e-03, …]",4.376e-04
run_2,0.2,"[7.004e-05, 3.648e-03, 3.964e-03, …]","[1.261e-04, 6.567e-03, 7.135e-03, …]",4.432e-04
run_3,0.30000000000000004,"[7.006e-05, 3.648e-03, 3.964e-03, …]","[1.261e-04, 6.567e-03, 7.135e-03, …]",4.450e-04
run_4,0.4,"[7.009e-05, 3.648e-03, 3.964e-03, …]","[1.262e-04, 6.567e-03, 7.135e-03, …]",4.472e-04
