run,corner,time,VVin,VQ7,VQ6,VQ5,VQ4,VQ3,VQ2,VQ1,VQ0,code,dnl
run_0,tt,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.212, 0.212, 0.212, …]","[0.684, 0.682, 0.680, …]","[0.680, 0.677, 0.676, …]","[0.680, 0.677, 0.676, …]","[0.680, 0.677, 0.676, …]","[0.680, 0.677, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.677, …]","[1.000, 31.000, 32.000, …]","[3.921e-03, 3.922e-03, 3.921e-03, …]"
run_1,ss,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.212, 0.212, 0.212, …]","[0.687, 0.685, 0.683, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.680, …]","[0.684, 0.681, 0.680, …]","[0.685, 0.682, 0.680, …]","[1.000, 31.000, 32.000, …]","[3.921e-03, 3.922e-03, 3.921e-03, …]"
run_2,ff,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.212, 0.212, 0.212, …]","[0.682, 0.679, 0.677, …]","[0.677, 0.674, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.678, 0.674, 0.673, …]","[0.678, 0.675, 0.673, …]","[0.678, 0.675, 0.673, …]","[1.000, 31.000, 32.000, …]","[3.921e-03, 3.922e-03, 3.921e-03, …]"
run_3,fs,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.212, 0.212, 0.212, …]","[0.655, 0.652, 0.650, …]","[0.651, 0.647, 0.645, …]","[0.651, 0.647, 0.645, …]","[0.651, 0.647, 0.645, …]","[0.651, 0.647, 0.645, …]","[0.651, 0.648, 0.646, …]","[0.651, 0.648, 0.646, …]","[0.651, 0.648, 0.646, …]","[1.000, 31.000, 32.000, …]","[3.921e-03, 3.922e-03, 3.921e-03, …]"
run_4,sf,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.212, 0.212, 0.212, …]","[0.715, 0.713, 0.711, …]","[0.712, 0.709, 0.707, …]","[0.712, 0.709, 0.707, …]","[0.712, 0.709, 0.707, …]","[0.712, 0.709, 0.707, …]","[0.712, 0.709, 0.708, …]","[0.712, 0.709, 0.708, …]","[0.713, 0.710, 0.709, …]","[1.000, 31.000, 32.000, …]","[3.921e-03, 3.922e-03, 3.921e-03, …]"
