 1.00000000e-12  9.04053861e+00  3.95518300e-01  3.96299463e-01  3.96451179e-01  3.86435657e-01  3.76775427e-01  3.79262624e-01  3.79408777e-01  4.73860389e-01  7.34173225e-01 
 1.02386337e-12  2.11651354e+00  3.98673818e-01  3.99483518e-01  3.99640463e-01  3.89468529e-01  3.79752157e-01  3.82302860e-01  3.82447504e-01  4.75818155e-01  7.34173225e-01 
 1.07159010e-12  1.45521165e+00  4.04572314e-01  4.05454742e-01  4.05617387e-01  3.95119663e-01  3.85448101e-01  3.88109732e-01  3.88242835e-01  4.79981762e-01  7.34173225e-01 
 1.14211238e-12  1.01265658e+00  4.11103347e-01  4.12106143e-01  4.12270341e-01  4.01316062e-01  3.91885662e-01  3.94694758e-01  3.94827759e-01  4.84789438e-01  7.34173225e-01 
 1.22024107e-12  7.63715259e-01  4.15380942e-01  4.16512525e-01  4.16676712e-01  4.05294533e-01  3.96224048e-01  3.99188026e-01  3.99351007e-01  4.87618153e-01  7.34173225e-01 
 1.35923642e-12  5.18606217e-01  4.18467354e-01  4.19796661e-01  4.19972605e-01  4.07957715e-01  3.99722103e-01  4.02902223e-01  4.03101007e-01  4.89140621e-01  7.34173225e-01 
 1.57503285e-12  3.30363930e-01  4.17872925e-01  4.19415904e-01  4.19634408e-01  4.06952245e-01  3.99888311e-01  4.03291997e-01  4.03501766e-01  4.87200151e-01  7.34173224e-01 
 1.90706581e-12  2.01772395e-01  4.13852877e-01  4.15583480e-01  4.15868525e-01  4.03004551e-01  3.96911081e-01  4.00452663e-01  4.00620138e-01  4.82595916e-01  7.34173224e-01 
 2.54087130e-12  1.04071469e-01  4.06942844e-01  4.08781926e-01  4.09109888e-01  3.97625006e-01  3.91359671e-01  3.94785344e-01  3.94871042e-01  4.76450774e-01  7.34173223e-01 
 3.47534620e-12  5.88593189e-02  4.00442417e-01  4.01956013e-01  4.02217768e-01  3.93632871e-01  3.85989353e-01  3.88823022e-01  3.88884215e-01  4.72218280e-01  7.34173222e-01 
 4.89854685e-12  3.34762298e-02  3.94845578e-01  3.95233371e-01  3.95298680e-01  3.89919863e-01  3.81054625e-01  3.82770640e-01  3.82794473e-01  4.68974218e-01  7.34173220e-01 
 6.43058871e-12  2.70472676e-02  3.91914828e-01  3.91067416e-01  3.90933414e-01  3.87401705e-01  3.78193043e-01  3.78975293e-01  3.78947444e-01  4.67010712e-01  7.34173219e-01 
 8.78322445e-12  1.88676567e-02  3.89898508e-01  3.87880141e-01  3.87574282e-01  3.85375156e-01  3.76060379e-01  3.76076892e-01  3.76093440e-01  4.64945370e-01  7.34173216e-01 
 1.27871013e-11  1.65431308e-02  3.88675303e-01  3.86203247e-01  3.85793271e-01  3.84231165e-01  3.75005936e-01  3.74615280e-01  3.74729857e-01  4.62735404e-01  7.34173211e-01 
 1.81523851e-11  1.21793178e-02  3.88129597e-01  3.86329799e-01  3.85827359e-01  3.84128542e-01  3.75010203e-01  3.74713524e-01  3.75001345e-01  4.60394470e-01  7.34173204e-01 
 2.51078894e-11  1.29509484e-02  3.87795609e-01  3.87282136e-01  3.86615477e-01  3.84463875e-01  3.75479016e-01  3.75470187e-01  3.75970780e-01  4.57708959e-01  7.34173196e-01 
 3.40546582e-11  1.02326877e-02  3.87569698e-01  3.88746660e-01  3.87801726e-01  3.85005079e-01  3.76184141e-01  3.76568770e-01  3.77352618e-01  4.54219468e-01  7.34173185e-01 
 4.41030425e-11  1.22955186e-02  3.87448783e-01  3.90492650e-01  3.89154677e-01  3.85658398e-01  3.77103410e-01  3.77914602e-01  3.78997509e-01  4.50451078e-01  7.34173173e-01 
 5.97172674e-11  1.07803303e-02  3.87402291e-01  3.93295743e-01  3.91292166e-01  3.86721589e-01  3.78596029e-01  3.80070767e-01  3.81619169e-01  4.44535131e-01  7.34173154e-01 
 7.79404652e-11  1.36323340e-02  3.87973680e-01  3.96671796e-01  3.93870337e-01  3.88078025e-01  3.80496205e-01  3.82713391e-01  3.84773654e-01  4.37881071e-01  7.34173132e-01 
