run,corner,time,I,Q7,Q6,Q5,Q4,Q3,Q2,Q1,Q0,Vin,sndr
run_0,tt,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.445, 0.845, 0.343, …]","[0.684, 0.681, 0.679, …]","[0.680, 0.677, 0.675, …]","[0.680, 0.677, 0.675, …]","[0.680, 0.677, 0.675, …]","[0.680, 0.677, 0.675, …]","[0.680, 0.677, 0.675, …]","[0.680, 0.677, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.115, 0.115, 0.115, …]",2.006
run_1,ss,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.469, 0.865, 0.354, …]","[0.687, 0.684, 0.683, …]","[0.683, 0.680, 0.679, …]","[0.683, 0.680, 0.679, …]","[0.683, 0.680, 0.679, …]","[0.683, 0.680, 0.679, …]","[0.683, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.680, …]","[0.115, 0.115, 0.115, …]",2.006
run_2,ff,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.417, 0.822, 0.329, …]","[0.681, 0.678, 0.677, …]","[0.677, 0.673, 0.671, …]","[0.677, 0.673, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.677, 0.674, 0.672, …]","[0.678, 0.675, 0.673, …]","[0.115, 0.115, 0.115, …]",2.006
run_3,fs,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.447, 0.850, 0.348, …]","[0.655, 0.651, 0.650, …]","[0.650, 0.647, 0.645, …]","[0.650, 0.647, 0.645, …]","[0.650, 0.647, 0.645, …]","[0.650, 0.647, 0.645, …]","[0.650, 0.647, 0.645, …]","[0.651, 0.647, 0.645, …]","[0.651, 0.648, 0.646, …]","[0.115, 0.115, 0.115, …]",2.006
run_4,sf,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.438, 0.836, 0.334, …]","[0.715, 0.712, 0.710, …]","[0.711, 0.708, 0.706, …]","[0.711, 0.708, 0.706, …]","[0.711, 0.708, 0.707, …]","[0.711, 0.708, 0.707, …]","[0.711, 0.708, 0.707, …]","[0.711, 0.709, 0.707, …]","[0.712, 0.709, 0.708, …]","[0.115, 0.115, 0.115, …]",2.006
