VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.792,113,0.792,1,0.0050000000000000044,-0.2888888888888883
0.797,114,0.797,114,0.007000000000000006,-0.004444444444443585
0.804,115,0.804,115,0.006000000000000005,-0.14666666666666595
0.81,116,0.81,116,0.008999999999999897,0.27999999999998537
0.812,116,0.819,117,0.0040000000000000036,-0.43111111111111067
0.815,116,0.823,118,0.013000000000000012,0.8488888888888906
0.819,117,0.836,119,0.008000000000000007,0.13777777777777866
0.823,118,0.844,121,0.008000000000000007,0.13777777777777866
0.828,118,0.852,122,0.008000000000000007,0.13777777777777866
0.836,119,0.86,123,0.006000000000000005,-0.14666666666666595
0.844,121,0.866,124,0.01100000000000001,0.5644444444444459
0.852,122,0.877,125,0.007000000000000006,-0.004444444444443585
0.86,123,0.884,128,0.019000000000000017,1.7022222222222245
0.866,124,0.903,129,0.0030000000000000027,-0.573333333333333
0.877,125,0.906,130,,
0.884,128,,,,
0.893,128,,,,
0.903,129,,,,
0.906,130,,,,
0.913,130,,,,
