VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.882,128,0.882,1,0.0010000000000000009,-0.8577777777777776
0.883,126,0.883,126,0.0030000000000000027,-0.573333333333333
0.886,128,0.886,128,0.006000000000000005,-0.14666666666666595
0.892,127,0.892,127,0.006000000000000005,-0.14666666666666595
0.898,128,0.898,128,0.007000000000000006,-0.004444444444443585
0.905,129,0.905,129,0.0050000000000000044,-0.2888888888888883
0.91,130,0.91,130,0.007000000000000006,-0.004444444444443585
0.917,131,0.917,131,0.0040000000000000036,-0.43111111111111067
0.921,132,0.921,132,0.008000000000000007,0.13777777777777866
0.929,133,0.929,133,0.008000000000000007,0.13777777777777866
0.932,133,0.937,134,-0.0030000000000000027,-1.426666666666667
0.933,133,0.934,133,-0.009000000000000008,-2.280000000000001
0.937,134,0.925,132,,
0.934,133,,,,
0.933,133,,,,
0.929,133,,,,
0.932,133,,,,
0.93,133,,,,
0.925,132,,,,
0.921,132,,,,
