VIN_samples,Code_samples,Transition_voltages,Code_transitions,Bin_widths,DNL
0.129992,18,0.129992,1,0.042635000000000006,5.063644444444445
0.172627,24,0.172627,24,0.05404999999999999,6.6871111111111095
0.226677,32,0.226677,32,0.06657199999999999,8.468017777777776
0.293249,42,0.293249,42,0.011415000000000008,0.6234666666666677
0.304664,43,0.304664,43,-0.015588999999999964,-3.217102222222217
0.289075,41,0.289075,41,-0.013502000000000014,-2.9202844444444462
0.275573,39,0.275573,39,-0.008348000000000022,-2.187271111111114
0.267225,38,0.267225,38,-0.013502000000000014,-2.9202844444444462
0.253723,36,0.253723,36,-0.00936999999999999,-2.332622222222221
0.244353,35,0.244353,35,-0.017675999999999997,-3.5139199999999997
0.226677,32,0.226677,32,-0.014566999999999997,-3.0717511111111104
0.21211,30,0.21211,30,-0.0072399999999999964,-2.0296888888888884
0.211088,30,0.20487,29,0.05196299999999998,6.3902933333333305
0.20487,29,0.256833,36,0.018740000000000034,1.6652444444444492
0.256833,36,0.275573,39,-0.010392000000000012,-2.477973333333335
0.275573,39,0.265181,38,-0.019763000000000003,-3.8107377777777782
0.265181,38,0.245418,35,-0.016654000000000002,-3.368568888888889
0.245418,35,0.228764,32,0.015588999999999992,1.2171022222222212
0.228764,32,0.244353,35,,
0.244353,35,,,,
