Code,DNL,INL
0,0.8823529244444446,0.0
1,-0.24705877333333326,0.4702755232926926
2,-0.12156868266666687,0.23132580551162432
3,0.12941181155555515,0.11786617839722248
4,-0.24705891555555548,0.2553870455050427
5,-0.24705877333333226,0.016437185501753226
6,0.12941175466666666,-0.22251253227931458
7,0.25490198755555427,-0.08499172206038352
8,0.003921588148148913,0.17801932104743617
9,-0.24705886814814804,0.19004996474785052
10,-0.12156856888889045,-0.04889984784803205
11,0.12941169777777883,-0.16235936118465905
12,0.003921635555554248,-0.024838607854614655
13,-0.12156867555555217,-0.012807916746794884
14,0.003921599999997749,-0.12626753675008354
15,0.12941169777777883,-0.1142368811978203
16,0.12941183999999906,0.023283872132224086
17,-0.12156866370370523,0.16080476768448865
18,-0.1215686162962939,0.04734515953304689
19,0.12941175466666266,-0.06611440121098155
20,0.003921578666668646,0.07140640900794655
21,-0.12156863999999956,0.08343704322687667
22,0.12941176888889006,-0.030022541220857433
23,0.003921588148146915,0.10749828322029802
24,-0.12156866370370523,0.1195289269207104
25,0.003921600000003744,0.006069318769270637
26,0.0039215288888867494,0.018099974321539807
27,0.003921635555558245,0.03013055876269198
28,0.003921493333328252,0.04216124987051175
29,0.003921635555558245,0.05419179875610543
30,-0.12156871111110867,0.06622248986392915
31,0.003921635555550251,-0.047237165694914054
32,0.12941173333333533,-0.03520647458709823
33,-0.12156860444444506,0.10231431429850267
34,-0.12156863999999568,-0.01114523459367689
35,0.12941176888888606,-0.12460481904140705
36,0.003921588148146915,0.012916005399748402
37,-0.12156866370370134,0.024946649100156846
38,0.0039215999999997475,-0.08851295905127503
39,0.003921528888890746,-0.07648230349901376
40,0.003921635555550251,-0.06445171905785368
41,0.003921493333332249,-0.05242102795004181
42,0.003921635555558245,-0.040390479064448134
43,0.003921528888882753,-0.028359787956620468
44,0.003921600000007741,-0.016329203515476187
45,0.003921528888890746,-0.0042985479631991235
46,0.0039215999999997475,0.0077320364779530516
47,0.003921528888890746,0.019762692030222222
48,0.0039215999999997475,0.03179327647137439
49,0.00392156444444125,0.04382393202363567
50,-0.12156864000000356,0.055854552020346344
51,0.003921607111103453,-0.05760503242739566
52,0.12941172622223163,-0.04557436976402269
53,0.0039215999999997475,0.09194641201047046
54,0.003921528888898518,0.10397706756273964
55,0.0039215999999997475,0.1160076520038997
56,-0.12156867555556206,0.12803830755616097
57,-0.12156856888889445,0.014578687552868373
58,0.12941172622222363,-0.09888082578376453
59,0.003921607111111447,0.03863995599072862
60,-0.12156864000000356,0.05067061865410159
61,0.003921564444457015,-0.06278896579363251
62,0.2549019496296172,-0.05075834579691395
63,0.003921588148154909,0.21225265938497273
64,-0.24705880888888987,0.22428330308538907
