Index,Vin,Code
0,1.23489323,177.0
1,1.24445512,178.0
2,1.25396512,179.0
3,1.26342183,181.0
4,1.2728238,182.0
5,1.28216963,183.0
6,1.2914579,185.0
7,1.30068722,186.0
8,1.3098562,187.0
9,1.31896346,189.0
10,1.32800762,190.0
11,1.33698733,191.0
12,1.34590122,191.0
13,1.35474797,194.0
14,1.36352623,195.0
15,1.37223469,196.0
16,1.38087203,197.0
17,1.38943695,199.0
18,1.39792817,200.0
19,1.4063444,201.0
20,1.41468438,202.0
21,1.42294684,203.0
22,1.43113056,205.0
23,1.43923428,206.0
24,1.4472568,207.0
25,1.45519691,208.0
26,1.4630534,209.0
27,1.4708251,210.0
28,1.47851084,211.0
29,1.48610945,213.0
30,1.4936198,213.0
31,1.50104075,215.0
