Index,Vin,Code
0,1.68124677,241.0
1,1.67707829,240.0
2,1.67279279,240.0
3,1.6683909,239.0
4,1.6638733,238.0
5,1.65924066,238.0
6,1.65449368,237.0
7,1.64963308,236.0
8,1.64465958,236.0
9,1.63957395,235.0
10,1.63437693,234.0
11,1.62906932,233.0
12,1.62365192,233.0
13,1.61812553,232.0
14,1.612491,231.0
15,1.60674918,230.0
16,1.60090091,229.0
17,1.5949471,228.0
18,1.58888862,228.0
19,1.58272641,227.0
20,1.57646138,226.0
21,1.57009447,225.0
22,1.56362665,224.0
23,1.55705889,223.0
24,1.55039218,222.0
25,1.54362753,221.0
26,1.53676594,220.0
27,1.52980847,219.0
28,1.52275614,218.0
29,1.51561003,217.0
30,1.50837121,216.0
31,1.50104078,215.0
