 1.00000000e-12  1.72941176e+00  6.91052065e-01  6.86175440e-01  6.86185262e-01  6.86204873e-01  6.86243961e-01  6.86321606e-01  6.86474814e-01  6.86773206e-01 
 1.02521998e-12  1.72941176e+00  6.88275512e-01  6.83298973e-01  6.83308989e-01  6.83328986e-01  6.83368844e-01  6.83448017e-01  6.83604234e-01  6.83908468e-01 
 1.07565995e-12  1.72941176e+00  6.86313968e-01  6.81166677e-01  6.81177074e-01  6.81197832e-01  6.81239205e-01  6.81321386e-01  6.81483529e-01  6.81799271e-01 
 1.17653988e-12  1.72941176e+00  6.90029187e-01  6.84642626e-01  6.84653813e-01  6.84676149e-01  6.84720662e-01  6.84809066e-01  6.84983438e-01  6.85322811e-01 
 1.37829974e-12  1.72941176e+00  6.94650095e-01  6.88996052e-01  6.89008591e-01  6.89033619e-01  6.89083489e-01  6.89182483e-01  6.89377558e-01  6.89756543e-01 
 1.61355234e-12  1.72941176e+00  6.96526038e-01  6.90741023e-01  6.90754478e-01  6.90781336e-01  6.90834833e-01  6.90940970e-01  6.91149895e-01  6.91554959e-01 
 2.08405755e-12  1.72941176e+00  6.97982628e-01  6.92106206e-01  6.92120133e-01  6.92147926e-01  6.92203272e-01  6.92313019e-01  6.92528825e-01  6.92946412e-01 
 2.96686121e-12  1.72941176e+00  6.98639004e-01  6.92758675e-01  6.92772399e-01  6.92799788e-01  6.92854328e-01  6.92962467e-01  6.93175080e-01  6.93586384e-01 
 4.04809073e-12  1.72941176e+00  6.99397397e-01  6.93604305e-01  6.93617921e-01  6.93645095e-01  6.93699208e-01  6.93806505e-01  6.94017484e-01  6.94425693e-01 
 5.92835307e-12  1.72941176e+00  7.00039649e-01  6.94455139e-01  6.94468707e-01  6.94495783e-01  6.94549703e-01  6.94656619e-01  6.94866861e-01  6.95273687e-01 
 8.59934273e-12  1.72941176e+00  7.01099592e-01  6.95803239e-01  6.95816743e-01  6.95843695e-01  6.95897367e-01  6.96003799e-01  6.96213106e-01  6.96618197e-01 
 1.31446728e-11  1.72941176e+00  7.02676163e-01  6.97848591e-01  6.97862005e-01  6.97888775e-01  6.97942088e-01  6.98047816e-01  6.98255769e-01  6.98658343e-01 
 1.89598446e-11  1.72941176e+00  7.04898168e-01  7.00634887e-01  7.00648198e-01  7.00674764e-01  7.00727672e-01  7.00832606e-01  7.01039030e-01  7.01438767e-01 
 3.05901882e-11  1.72941176e+00  7.09029945e-01  7.05856558e-01  7.05869716e-01  7.05895979e-01  7.05948286e-01  7.06052043e-01  7.06256205e-01  7.06651760e-01 
 5.38508754e-11  1.72941176e+00  7.17567573e-01  7.16308438e-01  7.16321418e-01  7.16347326e-01  7.16398932e-01  7.16501316e-01  7.16702853e-01  7.17093590e-01 
