Index,Vin,Code
0,1.23489323,175.0
1,1.24445512,175.0
2,1.25396512,177.0
3,1.26342183,179.0
4,1.2728238,180.0
5,1.28216963,181.0
6,1.2914579,183.0
7,1.30068722,183.0
8,1.3098562,185.0
9,1.31896346,186.0
10,1.32800762,187.0
11,1.33698733,189.0
12,1.34590122,190.0
13,1.35474797,191.0
14,1.36352623,191.0
15,1.37223469,194.0
16,1.38087203,195.0
17,1.38943695,197.0
18,1.39792817,198.0
19,1.4063444,199.0
20,1.41468438,200.0
21,1.42294684,201.0
22,1.43113056,202.0
23,1.43923428,203.0
24,1.4472568,205.0
25,1.45519691,206.0
26,1.4630534,207.0
27,1.4708251,208.0
28,1.47851084,209.0
29,1.48610945,210.0
30,1.4936198,211.0
31,1.50104075,212.0
