run,VVin,time,VVin,VQ7,VQ6,VQ5,VQ4,VQ3,VQ2,VQ1,VQ0,vin,inl
run_0,1.305882353,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.306, 1.306, 1.306, …]","[0.691, 0.688, 0.687, …]","[0.686, 0.683, 0.682, …]","[0.686, 0.683, 0.682, …]","[0.686, 0.683, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.688, 0.685, 0.683, …]",1.306,-4.167e-07
run_1,1.312941176,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.313, 1.313, 1.313, …]","[0.691, 0.688, 0.687, …]","[0.686, 0.683, 0.682, …]","[0.686, 0.683, 0.682, …]","[0.686, 0.683, 0.682, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.688, 0.685, 0.683, …]",1.313,5.000e-07
run_2,1.32,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.320, 1.320, 1.320, …]","[0.691, 0.688, 0.687, …]","[0.686, 0.683, 0.682, …]","[0.686, 0.683, 0.682, …]","[0.686, 0.684, 0.682, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.688, 0.685, 0.683, …]",1.320,0.000
run_3,1.327058824,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.327, 1.327, 1.327, …]","[0.691, 0.688, 0.687, …]","[0.686, 0.684, 0.682, …]","[0.686, 0.684, 0.682, …]","[0.686, 0.684, 0.682, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.688, 0.685, 0.683, …]",1.327,-5.000e-07
run_4,1.334117647,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[1.334, 1.334, 1.334, …]","[0.691, 0.688, 0.687, …]","[0.686, 0.684, 0.682, …]","[0.686, 0.684, 0.682, …]","[0.686, 0.684, 0.682, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.684, 0.683, …]","[0.688, 0.685, 0.683, …]",1.334,4.167e-07
