 1.00000000e-12  1.78200000e+00  5.60212005e-01 
 1.02668709e-12  1.78151963e+00  5.56034392e-01 
 1.08006126e-12  1.78055890e+00  5.52200048e-01 
 1.18680960e-12  1.77863743e+00  5.54827178e-01 
 1.40030629e-12  1.77479449e+00  5.60745928e-01 
 1.65117031e-12  1.77027893e+00  5.65896986e-01 
 2.15289833e-12  1.76124783e+00  5.72401358e-01 
 3.03269080e-12  1.74541157e+00  5.76453915e-01 
 4.12910676e-12  1.72567608e+00  5.77405607e-01 
 5.98738263e-12  1.69222711e+00  5.77308565e-01 
 8.74600099e-12  1.64257198e+00  5.77117144e-01 
 1.32488818e-11  1.56152013e+00  5.76667524e-01 
 1.89386628e-11  1.45910407e+00  5.76267450e-01 
 3.03182249e-11  1.25427195e+00  5.75359720e-01 
 5.30773490e-11  8.44607718e-01  5.74199579e-01 
 9.85955973e-11  2.52792486e-02  5.73770029e-01 
 1.00000000e-10  0.00000000e+00  5.73867644e-01 
 1.02808805e-10  0.00000000e+00  5.74073364e-01 
 1.08426416e-10  0.00000000e+00  5.74563696e-01 
 1.18829550e-10  0.00000000e+00  5.75411073e-01 
 1.39635818e-10  0.00000000e+00  5.77134739e-01 
 1.81248355e-10  0.00000000e+00  5.80635967e-01 
 2.64473427e-10  0.00000000e+00  5.87773864e-01 
 4.30923572e-10  0.00000000e+00  5.99296743e-01 
 7.01491882e-10  0.00000000e+00  6.13884970e-01 
 1.00355931e-09  0.00000000e+00  6.28003880e-01 
 1.45167674e-09  0.00000000e+00  6.40905309e-01 
 1.96914621e-09  0.00000000e+00  6.37845379e-01 
 2.59208856e-09  0.00000000e+00  6.15894255e-01 
 3.33698208e-09  0.00000000e+00  5.74358961e-01 
 4.25959098e-09  0.00000000e+00  5.20330840e-01 
 5.32132772e-09  0.00000000e+00  4.64114997e-01 
 6.41303887e-09  0.00000000e+00  4.01783470e-01 
 7.19017706e-09  0.00000000e+00  3.61436151e-01 
 7.92375177e-09  0.00000000e+00  3.24577575e-01 
 8.68382292e-09  0.00000000e+00  2.90591940e-01 
 9.42009889e-09  0.00000000e+00  2.61424291e-01 
 1.03014210e-08  0.00000000e+00  2.29147537e-01 
 1.09879300e-08  0.00000000e+00  2.05540003e-01 
 1.16563999e-08  0.00000000e+00  1.84005174e-01 
 1.24051164e-08  0.00000000e+00  1.61273856e-01 
 1.32025736e-08  0.00000000e+00  1.40189460e-01 
 1.45353634e-08  0.00000000e+00  1.10043330e-01 
 1.72009431e-08  0.00000000e+00  6.67686200e-02 
 2.17776997e-08  0.00000000e+00  2.65420926e-02 
 2.75705329e-08  0.00000000e+00  7.70237731e-03 
 3.22724301e-08  0.00000000e+00  2.84008660e-03 
 3.64195942e-08  0.00000000e+00  1.28199696e-03 
 4.07101616e-08  0.00000000e+00  4.99656403e-04 
 4.57444576e-08  0.00000000e+00  2.29569988e-04 
 5.09757646e-08  0.00000000e+00  4.81933454e-05 
 5.87067394e-08  0.00000000e+00  5.94031207e-05 
 6.99706859e-08  0.00000000e+00 -1.69219816e-05 
 8.94421554e-08  0.00000000e+00  4.22684128e-05 
 1.25064187e-07  0.00000000e+00 -2.57945907e-05 
 1.88802671e-07  0.00000000e+00  3.45806335e-05 
 2.50100000e-07  0.00000000e+00 -2.98259239e-05 
 2.50110000e-07  1.80000000e-01  1.36806103e-03 
 2.50130000e-07  5.40000000e-01  4.49507464e-03 
 2.50170000e-07  1.26000000e+00  9.23570051e-03 
 2.50200000e-07  1.80000000e+00  1.04032198e-02 
 2.50207609e-07  1.80000000e+00  9.46908569e-03 
 2.50222827e-07  1.80000000e+00  7.37178039e-03 
 2.50253263e-07  1.80000000e+00  3.66278427e-03 
 2.50314135e-07  1.80000000e+00 -9.02038490e-05 
 2.50407241e-07  1.80000000e+00 -1.75569817e-03 
 2.50567350e-07  1.80000000e+00 -2.23119379e-03 
 2.50730058e-07  1.80000000e+00 -1.46827298e-03 
 2.51031943e-07  1.80000000e+00  1.20508427e-03 
