run,VVin,idd,power,avg_power
run_0,0.0,"[0.282, 0.108, 5.995e-02, …]","[0.507, 0.195, 0.108, …]",9.134e-04
run_1,0.1,"[0.282, 0.108, 6.009e-02, …]","[0.507, 0.195, 0.108, …]",9.043e-04
run_2,0.2,"[0.281, 0.108, 6.023e-02, …]","[0.507, 0.195, 0.108, …]",9.206e-04
run_3,0.30000000000000004,"[0.281, 0.108, 6.037e-02, …]","[0.507, 0.195, 0.109, …]",9.084e-04
run_4,0.4,"[0.281, 0.108, 6.050e-02, …]","[0.506, 0.195, 0.109, …]",9.012e-04
run_5,0.5,"[0.281, 0.108, 6.062e-02, …]","[0.506, 0.195, 0.109, …]",9.075e-04
