run,corner,time,VVin,VQ7,VQ6,VQ5,VQ4,VQ3,VQ2,VQ1,VQ0,code,dnl
run_0,tt,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.671, 0.671, 0.671, …]","[0.688, 0.685, 0.683, …]","[0.683, 0.681, 0.679, …]","[0.683, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.679, …]","[0.684, 0.681, 0.680, …]","[1.000, 96.000, 97.000, …]","[3.922e-03, 3.921e-03, 3.922e-03, …]"
run_1,ss,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.671, 0.671, 0.671, …]","[0.690, 0.687, 0.686, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.682, …]","[0.687, 0.684, 0.683, …]","[0.687, 0.685, 0.683, …]","[1.000, 96.000, 97.000, …]","[3.922e-03, 3.921e-03, 3.922e-03, …]"
run_2,ff,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.671, 0.671, 0.671, …]","[0.686, 0.683, 0.681, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.681, 0.678, 0.676, …]","[0.682, 0.679, 0.677, …]","[1.000, 96.000, 97.000, …]","[3.922e-03, 3.921e-03, 3.922e-03, …]"
run_3,fs,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.671, 0.671, 0.671, …]","[0.658, 0.655, 0.653, …]","[0.653, 0.650, 0.648, …]","[0.653, 0.650, 0.648, …]","[0.653, 0.650, 0.648, …]","[0.653, 0.650, 0.648, …]","[0.653, 0.650, 0.648, …]","[0.654, 0.650, 0.648, …]","[0.654, 0.651, 0.649, …]","[1.000, 96.000, 97.000, …]","[3.922e-03, 3.921e-03, 3.922e-03, …]"
run_4,sf,"[1.000e-12, 1.028e-12, 1.084e-12, …]","[0.671, 0.671, 0.671, …]","[0.719, 0.717, 0.715, …]","[0.715, 0.713, 0.711, …]","[0.715, 0.713, 0.711, …]","[0.715, 0.713, 0.711, …]","[0.715, 0.713, 0.711, …]","[0.716, 0.713, 0.711, …]","[0.716, 0.713, 0.712, …]","[0.716, 0.714, 0.712, …]","[1.000, 96.000, 97.000, …]","[3.922e-03, 3.921e-03, 3.922e-03, …]"
