run,VVin,time,Clk,FFCLR,sampling_rate
run_0,1.5,"[1.000e-12, 1.027e-12, 1.082e-12, …]","[1.782, 1.782, 1.781, …]","[0.564, 0.560, 0.556, …]",1.174e+05
run_1,1.6,"[1.000e-12, 1.027e-12, 1.080e-12, …]","[1.782, 1.782, 1.781, …]","[0.564, 0.560, 0.556, …]",1.174e+05
run_2,1.7000000000000002,"[1.000e-12, 1.026e-12, 1.078e-12, …]","[1.782, 1.782, 1.781, …]","[0.564, 0.560, 0.556, …]",1.174e+05
run_3,1.8,"[1.000e-12, 1.026e-12, 1.077e-12, …]","[1.782, 1.782, 1.781, …]","[0.564, 0.560, 0.556, …]",1.174e+05
